name,lattice_constant,band_gap,isMetal,magnetic_moment
Cr-Cr-N-Cl-Cl,3.181,0.0,True,5.7132
Cr-Cr-N-Cl-H,3.094,0.0,True,5.3829
Cr-Cr-N-Cl-OCN,3.182,0.0,True,6.0860
Cr-Cr-N-Cl-OH,3.152,0.0,True,6.0859
Cr-Cr-N-CN-Br,3.194,0.0,True,5.8498
Cr-Cr-N-CN-Cl,3.158,0.0,True,6.0944
Cr-Cr-N-CN-CN,3.042,0.0,True,5.6410
Cr-Cr-N-CN-F,3.209,0.0,True,6.1232
Cr-Cr-N-CN-H,3.068,0.0,True,5.3945
Cr-Cr-N-CN-NCO,3.135,0.0,True,6.1277
Cr-Cr-N-CN-NCS,3.165,0.0,True,6.1173
Cr-Cr-N-CN-NO,3.114,0.0,True,5.0001
Cr-Cr-N-CN-O,3.091,0.076,False,6.0000
Cr-Cr-N-CN-OCl,3.099,0.074,False,4.9999
Cr-Cr-N-CN-OCN,3.143,0.0,True,6.2022
Cr-Cr-N-CN-OH,3.117,0.0,True,6.2131
Cr-Cr-N-CN-PO,3.106,0.0,True,2.5017
Cr-Cr-N-CN-SCN,3.235,0.0,True,2.9854
Cr-Cr-N-F-Br,3.309,0.0,True,6.9527
Cr-Cr-N-F-Cl,3.268,0.0,True,6.8865
Cr-Cr-N-F-F,3.092,0.0,True,6.6953
Cr-Cr-N-F-H,3.183,0.0,True,6.6783
Cr-Cr-N-F-OCN,3.251,0.0,True,7.0000
Cr-Cr-N-F-OH,3.223,0.0,True,7.0000
Cr-Cr-N-H-H,2.869,0.0,True,4.9164
Cr-Cr-N-H-OCN,3.099,0.0,True,6.0860
Cr-Cr-N-H-OH,3.079,0.0,True,4.2887
Cr-Cr-N-NCO-Br,3.204,0.0,True,5.9913
Cr-Cr-N-NCO-Cl,3.168,0.0,True,6.0831
Cr-Cr-N-NCO-F,3.241,0.0,True,6.9366
Cr-Cr-N-NCO-H,3.089,0.0,True,5.7478
Cr-Cr-N-NCO-NCO,3.091,0.0,True,5.9226
Cr-Cr-N-NCO-NCS,3.174,0.0,True,6.0261
Cr-Cr-N-NCO-O,3.105,0.416,False,6.0000
Cr-Cr-N-NCO-OCN,3.158,0.0,True,6.1798
Cr-Cr-N-NCO-OH,3.132,0.0,True,6.1780
Cr-Cr-N-NCO-PO,3.104,0.0,True,2.9905
Cr-Cr-N-NCO-SCN,3.220,0.0,True,5.0000
Cr-Cr-N-NCS-Br,3.245,0.0,True,5.8651
Cr-Cr-N-NCS-Cl,3.198,0.0,True,5.8745
Cr-Cr-N-NCS-F,3.278,0.0,True,6.9721
Cr-Cr-N-NCS-H,3.099,0.0,True,5.2209
Cr-Cr-N-NCS-NCS,3.207,0.0,True,5.9345
Cr-Cr-N-NCS-O,3.128,0.189,False,6.0000
Cr-Cr-N-NCS-OCN,3.182,0.0,True,5.9972
Cr-Cr-N-NCS-OH,3.156,0.0,True,5.9500
Cr-Cr-N-NCS-PO,3.128,0.0,True,3.0000
Cr-Cr-N-NCS-SCN,3.262,0.0,True,5.0004
Cr-Cr-N-NO-Br,3.198,0.0,True,5.0000
Cr-Cr-N-NO-Cl,3.155,0.0,True,5.0000
Cr-Cr-N-NO-F,3.206,0.0,True,5.0000
Cr-Cr-N-NO-H,3.057,0.0,True,2.8978
Cr-Cr-N-NO-NCO,3.163,0.0,True,4.9980
Cr-Cr-N-NO-NCS,3.197,0.0,True,5.0000
Cr-Cr-N-NO-NO,3.054,0.0,True,2.2228
Cr-Cr-N-NO-O,3.055,0.0,True,2.6815
Cr-Cr-N-NO-OCl,3.051,0.0,True,4.3574
Cr-Cr-N-NO-OCN,3.171,0.0,True,4.9998
Cr-Cr-N-NO-OH,3.110,0.0,True,5.0000
Cr-Cr-N-NO-PO,3.107,0.0,True,3.3586
Cr-Cr-N-NO-SCN,3.244,0.0,True,5.0000
Cr-Cr-N-O-Br,3.154,0.237,False,6.0000
Cr-Cr-N-O-Cl,3.118,0.389,False,6.0000
Cr-Cr-N-OCl-Br,3.137,0.0,True,5.9494
Cr-Cr-N-OCl-Cl,3.102,0.0,True,6.3516
Cr-Cr-N-OCl-F,3.152,0.0,True,6.4922
Cr-Cr-N-OCl-H,3.040,0.0,True,6.3513
Cr-Cr-N-OCl-NCO,3.090,0.0,True,5.5465
Cr-Cr-N-OCl-NCS,3.116,0.0,True,6.3515
Cr-Cr-N-OCl-O,3.031,0.0,True,5.3517
Cr-Cr-N-OCl-OCl,2.924,0.0,True,5.1365
Cr-Cr-N-OCl-OCN,3.099,0.0,True,6.3516
Cr-Cr-N-OCl-OH,3.072,0.0,True,6.1504
Cr-Cr-N-OCl-PO,3.044,0.0,True,2.0745
Cr-Cr-N-OCN-OCN,3.123,0.0,True,6.0909
Cr-Cr-N-O-F,3.172,0.385,False,6.0000
Cr-Cr-N-O-H,3.079,0.0,True,5.3441
Cr-Cr-N-OH-OCN,3.142,0.0,True,6.1808
Cr-Cr-N-OH-OH,3.038,0.0,True,5.9852
Cr-Cr-N-O-O,3.044,0.0,True,5.0000
Cr-Cr-N-O-OCN,3.112,0.537,False,6.0000
Cr-Cr-N-O-OH,3.083,0.010,False,6.0000
Cr-Cr-N-PO-Br,3.160,0.0,True,2.9783
Cr-Cr-N-PO-Cl,3.120,0.0,True,3.0000
Cr-Cr-N-PO-F,3.193,0.0,True,1.0000
Cr-Cr-N-PO-H,3.047,0.0,True,2.2311
Cr-Cr-N-PO-O,3.054,0.0,True,1.9979
Cr-Cr-N-PO-OCN,3.109,0.0,True,2.9966
Cr-Cr-N-PO-OH,3.081,0.0,True,1.0497
Cr-Cr-N-PO-PO,3.020,0.0,True,-0.0019
Cr-Cr-N-SCN-Br,3.316,0.0,True,4.7060
Cr-Cr-N-SCN-Cl,3.264,0.0,True,5.0000
Cr-Cr-N-SCN-F,3.279,0.0,True,5.0273
Cr-Cr-N-SCN-H,3.178,0.0,True,3.3509
Cr-Cr-N-SCN-OCN,3.232,0.0,True,5.0000
Cr-Cr-N-SCN-OH,3.205,0.0,True,5.0079
Cr-Cr-N-SCN-PO,3.194,0.0,True,2.2926
Cr-Cr-N-SCN-SCN,3.360,0.0,True,2.7188
Cr-Hf-C-Br-H,3.272,0.0,True,2.0000
Cr-Hf-C-Br-OCN,3.322,0.0,True,2.0000
Cr-Hf-C-Br-OH,3.290,0.0,True,2.0869
Cr-Hf-C-Cl-Br,3.359,0.0,True,2.0000
Cr-Hf-C-Cl-H,3.231,0.0,True,2.0000
Cr-Hf-C-Cl-OCN,3.283,0.0,True,2.0000
Cr-Hf-C-Cl-OH,3.253,0.0,True,2.1469
Cr-Hf-C-CN-Br,3.319,0.0,True,2.0000
Cr-Hf-C-CN-Cl,3.273,0.0,True,2.0000
Cr-Hf-C-CN-F,3.272,0.0,True,2.0000
Cr-Hf-C-CN-H,3.192,0.0,True,2.0000
Cr-Hf-C-CN-NCO,3.235,0.0,True,2.0000
Cr-Hf-C-CN-NCS,3.266,0.0,True,2.0000
Cr-Hf-C-CN-NO,3.224,0.0,True,4.0000
Cr-Hf-C-CN-O,3.214,0.102,False,3.0000
Cr-Hf-C-CN-OCl,3.207,0.0,True,3.6172
Cr-Hf-C-CN-OCN,3.240,0.0,True,2.0000
Cr-Hf-C-CN-OH,3.212,0.0,True,2.1481
Cr-Hf-C-CN-PO,3.206,0.0,True,2.4804
Cr-Hf-C-CN-SCN,3.332,0.0,True,2.0000
Cr-Hf-C-F-Br,3.346,0.0,True,2.0000
Cr-Hf-C-F-Cl,3.306,0.0,True,2.0000
Cr-Hf-C-F-H,3.244,0.0,True,2.0000
Cr-Hf-C-F-OCN,3.289,0.0,True,2.0000
Cr-Hf-C-F-OH,3.261,0.0,True,2.1484
Cr-Hf-C-H-OCN,3.191,0.0,True,2.0000
Cr-Hf-C-H-OH,3.162,0.0,True,2.0990
Cr-Hf-C-NCO-Br,3.318,0.0,True,2.0000
Cr-Hf-C-NCO-Cl,3.276,0.0,True,2.0000
Cr-Hf-C-NCO-F,3.275,0.0,True,2.0000
Cr-Hf-C-NCO-H,3.199,0.0,True,2.0000
Cr-Hf-C-NCO-NCS,3.270,0.0,True,2.0000
Cr-Hf-C-NCO-O,3.220,0.352,False,3.0000
Cr-Hf-C-NCO-OCN,3.245,0.0,True,2.0000
Cr-Hf-C-NCO-OH,3.217,0.0,True,2.1484
Cr-Hf-C-NCO-PO,3.214,0.0,True,2.4460
Cr-Hf-C-NCO-SCN,3.339,0.0,True,2.0000
Cr-Hf-C-NCS-Br,3.352,0.0,True,2.0000
Cr-Hf-C-NCS-Cl,3.311,0.0,True,2.0000
Cr-Hf-C-NCS-F,3.304,0.0,True,2.0000
Cr-Hf-C-NCS-H,3.235,0.0,True,2.0000
Cr-Hf-C-NCS-O,3.252,0.309,False,3.0000
Cr-Hf-C-NCS-OCN,3.281,0.0,True,2.0000
Cr-Hf-C-NCS-OH,3.253,0.0,True,2.1476
Cr-Hf-C-NCS-PO,3.253,0.0,True,2.5162
Cr-Hf-C-NCS-SCN,3.372,0.0,True,2.0000
Cr-Hf-C-NO-Br,3.351,0.0,True,2.0000
Cr-Hf-C-NO-Cl,3.308,0.0,True,2.0000
Cr-Hf-C-NO-F,3.298,0.0,True,2.0000
Cr-Hf-C-NO-H,3.136,0.0,True,-0.1052
Cr-Hf-C-NO-NCO,3.165,0.0,True,-0.0332
Cr-Hf-C-NO-NCS,3.300,0.0,True,2.0000
Cr-Hf-C-NO-O,3.162,0.0,True,1.0000
Cr-Hf-C-NO-OCl,3.151,0.0,True,1.6561
Cr-Hf-C-NO-OCN,3.273,0.0,True,2.0000
Cr-Hf-C-NO-OH,3.244,0.0,True,1.9461
Cr-Hf-C-NO-PO,3.162,0.0,True,0.6649
Cr-Hf-C-NO-SCN,3.365,0.0,True,2.0000
Cr-Hf-C-O-Br,3.330,0.630,False,3.0000
Cr-Hf-C-O-Cl,3.280,0.481,False,3.0000
Cr-Hf-C-OCl-Br,3.346,0.0,True,2.0000
Cr-Hf-C-OCl-Cl,3.305,0.0,True,2.0000
Cr-Hf-C-OCl-F,3.266,0.0,True,3.8585
Cr-Hf-C-OCl-H,3.108,0.0,True,1.8254
Cr-Hf-C-OCl-NCO,3.227,0.0,True,3.8667
Cr-Hf-C-OCl-NCS,3.294,0.0,True,2.0000
Cr-Hf-C-OCl-O,3.134,0.0,True,2.5732
Cr-Hf-C-OCl-OCN,3.225,0.0,True,3.8666
Cr-Hf-C-OCl-OH,3.244,0.0,True,2.0732
Cr-Hf-C-OCl-PO,3.242,0.0,True,2.4325
Cr-Hf-C-OCl-SCN,3.326,0.0,True,3.8651
Cr-Hf-C-O-F,3.277,0.444,False,3.0000
Cr-Hf-C-O-H,3.164,0.0,True,2.3463
Cr-Hf-C-OH-OCN,3.232,0.0,True,2.0000
Cr-Hf-C-O-OCN,3.243,0.352,False,3.0000
Cr-Hf-C-O-OH,3.208,0.0,True,0.0907
Cr-Hf-C-PO-Br,3.290,0.0,True,0.0642
Cr-Hf-C-PO-Cl,3.244,0.0,True,-0.0000
Cr-Hf-C-PO-F,3.247,0.0,True,0.0000
Cr-Hf-C-PO-H,3.153,0.0,True,0.0003
Cr-Hf-C-PO-O,3.149,0.0,True,0.9453
Cr-Hf-C-PO-OCN,3.211,0.0,True,0.0000
Cr-Hf-C-PO-OH,3.180,0.0,True,0.0385
Cr-Hf-C-SCN-Br,3.437,0.0,True,2.0000
Cr-Hf-C-SCN-Cl,3.399,0.0,True,2.0000
Cr-Hf-C-SCN-F,3.375,0.0,True,2.0000
Cr-Hf-C-SCN-H,3.318,0.0,True,2.0000
Cr-Hf-C-SCN-O,3.305,0.0,True,2.8324
Cr-Hf-C-SCN-OCN,3.364,0.0,True,2.0000
Cr-Hf-C-SCN-OH,3.338,0.0,True,2.0122
Cr-Hf-C-SCN-PO,3.341,0.0,True,2.2936
Cr-Hf-N-Br-H,3.276,0.0,True,1.0000
Cr-Hf-N-Br-OCN,3.338,0.0,True,1.0000
Cr-Hf-N-Br-OH,3.298,0.0,True,1.1773
Cr-Hf-N-Cl-Br,3.380,0.0,True,1.0000
Cr-Hf-N-Cl-H,3.238,0.0,True,1.0000
Cr-Hf-N-Cl-OCN,3.302,0.0,True,1.0000
Cr-Hf-N-CN-Br,3.501,0.0,True,4.8984
Cr-Hf-N-CN-Cl,3.318,0.0,True,3.0563
Cr-Hf-N-CN-F,3.321,0.0,True,3.2017
Cr-Hf-N-CN-H,3.191,0.0,True,3.0542
Cr-Hf-N-CN-NCO,3.272,0.0,True,3.0554
Cr-Hf-N-CN-NCS,3.290,0.0,True,3.0547
Cr-Hf-N-CN-NO,3.200,0.0,True,3.0000
Cr-Hf-N-CN-O,3.178,0.0,True,2.0000
Cr-Hf-N-CN-OCl,3.167,0.0,True,2.7543
Cr-Hf-N-CN-OCN,3.286,0.0,True,3.0547
Cr-Hf-N-CN-OH,3.245,0.0,True,2.9512
Cr-Hf-N-CN-PO,3.208,0.0,True,3.1944
Cr-Hf-N-CN-SCN,3.372,0.0,True,1.0000
Cr-Hf-N-F-Br,3.365,0.0,True,1.0000
Cr-Hf-N-F-Cl,3.330,0.0,True,1.0000
Cr-Hf-N-F-H,3.255,0.0,True,1.0000
Cr-Hf-N-F-OCN,3.299,0.0,True,1.0000
Cr-Hf-N-F-OH,3.268,0.0,True,1.1789
Cr-Hf-N-H-OCN,3.198,0.0,True,1.0000
Cr-Hf-N-H-OH,3.296,0.0,True,4.9982
Cr-Hf-N-NCO-Br,3.337,0.0,True,1.0000
Cr-Hf-N-NCO-Cl,3.290,0.0,True,1.0000
Cr-Hf-N-NCO-F,3.298,0.0,True,1.0000
Cr-Hf-N-NCO-H,3.203,0.0,True,1.0000
Cr-Hf-N-NCO-NCS,3.256,0.0,True,1.0005
